frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
10,297.59,297.59,297.62,100,100,100
20,300.97,300.97,301.37,100,100,100
30,306.51,306.51,307.32,100,100,100
40,312.38,312.44,314.43,100,100,100
50,317.88,318.28,322.94,100,100,100
60,322.86,323.10,333.47,99,98,100
70,326.42,327.59,342.75,99,98,100
80,327.09,329.66,351.75,99,98,100
90,325.29,329.30,361.82,99,98,100
100,320.00,326.84,370.75,99,98,100
110,313.95,324.78,380.88,99,98,100
120,309.11,323.39,388.59,99,98,100
130,309.23,326.06,393.09,99,98,100
140,311.83,331.76,396.16,99,98,100
150,312.47,337.91,396.68,99,98,100
160,310.82,344.88,395.40,99,97,100
170,307.72,350.02,394.54,99,97,100
180,304.77,354.75,394.74,99,97,100
190,304.02,358.76,395.60,99,97,100
200,307.53,363.42,397.61,99,97,100
210,314.12,371.99,401.60,98,96,100
220,320.51,380.31,407.71,98,95,100
230,326.97,386.45,413.83,98,95,100
240,330.49,392.69,416.99,98,95,100
250,327.69,394.67,412.67,98,95,100
260,322.38,393.18,399.20,98,95,100
270,315.20,392.06,383.52,98,95,100
280,306.34,388.45,367.12,98,95,100
290,297.36,379.80,349.16,98,95,100
300,288.18,369.59,329.82,98,95,100
310,278.75,356.27,310.23,98,95,100
320,267.11,340.91,292.12,98,95,100
330,252.24,325.97,276.58,98,95,100
340,236.01,312.33,264.75,98,95,100
350,219.36,302.68,255.28,98,95,100
360,203.13,296.02,246.31,98,95,100
370,190.39,292.87,235.91,98,95,100
380,186.17,291.79,224.26,98,95,100
390,193.33,290.79,212.97,98,95,100
400,207.46,289.79,202.57,98,95,100
410,222.07,289.94,194.57,96,95,100
420,233.72,291.91,188.93,93,95,100
430,240.43,295.12,186.03,93,95,100
440,247.34,300.76,185.59,93,95,100
450,252.28,307.62,187.37,93,95,100
460,257.86,311.63,192.88,93,95,100
470,264.71,312.81,205.22,93,95,100
480,272.87,312.56,220.70,93,95,100
490,282.39,313.98,236.69,93,95,100
500,293.89,315.89,254.95,93,95,100
510,305.59,318.31,274.81,91,95,100
520,314.80,321.59,294.54,91,95,100
530,323.84,327.07,314.24,91,95,99
540,334.34,334.22,330.15,91,95,98
550,344.82,343.65,333.95,91,95,98
560,354.53,357.53,333.36,91,95,97
570,363.62,372.76,332.41,91,95,97
580,372.70,385.25,331.37,91,95,97
590,377.85,393.20,328.95,91,95,97
600,377.49,397.13,325.46,91,95,97
610,370.78,399.78,321.88,91,95,97
620,359.17,399.88,317.85,91,93,97
630,347.77,389.90,311.58,91,92,97
640,337.26,373.12,299.15,91,92,97
650,325.94,354.30,283.74,91,92,97
660,314.84,331.83,266.18,91,92,97
670,305.90,304.10,248.41,91,92,97
680,297.55,276.22,231.64,91,92,97
690,289.28,250.95,214.20,91,92,97
700,281.73,228.27,192.53,91,92,94
710,276.39,208.90,176.98,91,92,94
720,272.63,194.76,164.91,91,92,94
730,270.62,186.52,158.15,91,92,94
740,270.27,186.06,154.53,91,92,94
750,269.14,192.80,149.90,91,92,94
760,266.11,204.19,139.53,91,92,94
770,258.87,218.03,127.16,91,92,94
780,248.79,231.25,115.87,91,92,94
790,241.57,241.77,108.27,91,92,91
800,236.79,252.35,93.00,91,92,84
810,232.58,261.04,88.66,91,92,84
820,228.23,266.03,86.45,91,92,84
830,225.28,267.29,85.61,91,92,84
840,223.20,269.84,85.60,91,92,84
850,219.56,275.93,86.81,91,92,84
860,215.91,285.97,87.31,90,92,84
870,215.80,299.24,89.76,89,92,84
880,217.11,312.67,101.52,89,92,84
890,222.79,324.72,119.28,88,92,84
900,232.84,334.56,132.17,88,92,81
910,247.04,345.68,143.62,88,92,80
920,258.94,359.57,158.76,88,92,80
930,265.03,376.68,176.99,88,92,80
940,266.27,395.16,196.19,88,92,80
950,264.00,411.58,214.22,88,92,80
960,261.91,424.30,231.61,88,92,80
970,260.39,436.23,244.20,88,92,80
980,258.47,442.58,251.63,88,85,80
990,255.55,449.29,257.19,87,84,80
1000,247.90,452.10,259.86,87,84,80
1010,237.75,451.18,254.67,87,84,80
1020,227.52,447.79,239.62,87,84,80
1030,217.83,441.18,222.31,87,84,80
1040,208.14,430.53,206.09,87,84,80
1050,197.00,417.01,191.19,87,84,80
1060,185.26,400.97,177.62,87,84,80
1070,173.82,383.92,167.96,86,84,80
1080,162.64,366.58,162.28,86,84,80
1090,153.12,347.52,159.04,86,84,80
1100,145.42,325.68,158.08,86,84,80
1110,138.92,301.43,160.77,86,84,80
1120,136.29,280.07,168.36,86,84,80
1130,139.19,264.05,179.54,86,84,80
1140,148.17,249.15,193.92,86,83,80
1150,161.77,232.41,210.13,86,83,80
1160,179.68,216.10,224.94,86,83,80
1170,199.73,202.05,234.09,86,83,80
1180,220.43,190.96,235.05,86,83,80
1190,242.09,182.32,235.19,86,83,80
1200,264.52,173.88,234.52,86,83,80
1210,287.70,165.73,232.68,86,81,80
1220,311.43,157.23,228.95,86,81,80
1230,334.67,147.87,220.93,86,81,80
1240,357.03,139.95,210.89,86,81,80
1250,378.79,134.85,200.06,86,81,80
1260,398.61,132.26,188.93,86,81,80
1270,414.73,131.15,179.59,86,81,80
1280,421.62,131.09,171.40,86,81,80
1290,412.69,130.55,163.52,86,80,80
1300,392.91,129.18,156.50,82,78,80
1310,371.80,131.48,151.43,81,78,80
1320,357.54,124.76,147.56,81,76,80
1330,345.51,122.18,145.42,81,76,80
1340,333.33,122.92,146.07,81,76,80
1350,322.16,124.52,149.13,81,76,80
1360,312.61,126.48,152.34,81,76,80
1370,303.99,125.96,154.93,81,76,80
1380,296.06,122.73,157.34,81,76,80
1390,288.22,118.93,160.45,81,76,80
1400,277.93,115.50,165.08,81,76,80
1410,268.31,112.18,170.02,81,76,80
1420,263.41,110.01,174.42,81,76,80
1430,263.63,109.95,176.72,81,76,80
1440,264.88,111.35,176.94,81,76,80
1450,266.37,114.41,177.33,81,76,80
1460,266.84,117.47,178.85,81,76,80
